Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SOAPDataDrivenTestingSuite,,,2018-11-27 02:42:47,2018-11-27 02:43:02,14.383s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:42:49,2018-11-27 02:42:57,8.072s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:42:51,2018-11-27 02:42:55,3.846s,PASSED
verifyElementText,,,2018-11-27 02:42:55,2018-11-27 02:42:56,0.929s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:42:56,2018-11-27 02:42:57,1.209s,PASSED
verifyElementText,,,2018-11-27 02:42:57,2018-11-27 02:42:57,0.166s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:42:57,2018-11-27 02:42:59,2.374s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:42:57,2018-11-27 02:42:58,1.202s,PASSED
verifyElementText,,,2018-11-27 02:42:58,2018-11-27 02:42:58,0.063s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:42:58,2018-11-27 02:42:59,0.930s,PASSED
verifyElementText,,,2018-11-27 02:42:59,2018-11-27 02:42:59,0.086s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:42:59,2018-11-27 02:43:01,1.872s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:42:59,2018-11-27 02:43:00,0.917s,PASSED
verifyElementText,,,2018-11-27 02:43:00,2018-11-27 02:43:01,0.093s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:43:01,2018-11-27 02:43:01,0.760s,PASSED
verifyElementText,,,2018-11-27 02:43:01,2018-11-27 02:43:01,0.074s,PASSED
