Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SOAPSampleDemoSuite,,,2018-11-27 02:39:19,2018-11-27 02:39:29,10.454s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestOne,,,2018-11-27 02:39:20,2018-11-27 02:39:24,4.521s,PASSED
sendRequestAndVerify,,,2018-11-27 02:39:20,2018-11-27 02:39:24,3.771s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestThree_Parameter,,,2018-11-27 02:39:24,2018-11-27 02:39:26,1.598s,PASSED
sendRequest,,,2018-11-27 02:39:24,2018-11-27 02:39:26,1.248s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestTwo_APIChaining,,,2018-11-27 02:39:26,2018-11-27 02:39:29,3.614s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequestAndVerify(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCountryListByNames)),,,2018-11-27 02:39:26,2018-11-27 02:39:27,1.428s,PASSED
Statement - xml1 = responseBodyContent,,,2018-11-27 02:39:27,2018-11-27 02:39:28,0.478s,PASSED
Statement - dataValue = new groovy.util.XmlSlurper().parseText(xml1),,,2018-11-27 02:39:28,2018-11-27 02:39:28,0.069s,PASSED
Statement - countryCode = sISOCode,,,2018-11-27 02:39:28,2018-11-27 02:39:28,0.028s,PASSED
Statement - countryCode = countryCode,,,2018-11-27 02:39:28,2018-11-27 02:39:28,0.005s,PASSED
sendRequestAndVerify,,,2018-11-27 02:39:28,2018-11-27 02:39:29,1.200s,PASSED
