Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SOAPDataDrivenTestingSuite,,,2018-11-27 02:38:39,2018-11-27 02:38:51,12.150s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:38:40,2018-11-27 02:38:47,6.719s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:38:41,2018-11-27 02:38:44,2.865s,PASSED
verifyElementText,,,2018-11-27 02:38:44,2018-11-27 02:38:45,1.085s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:38:45,2018-11-27 02:38:47,1.402s,PASSED
verifyElementText,,,2018-11-27 02:38:47,2018-11-27 02:38:47,0.111s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:38:47,2018-11-27 02:38:49,2.010s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:38:47,2018-11-27 02:38:48,0.966s,PASSED
verifyElementText,,,2018-11-27 02:38:48,2018-11-27 02:38:48,0.095s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:38:48,2018-11-27 02:38:49,0.825s,PASSED
verifyElementText,,,2018-11-27 02:38:49,2018-11-27 02:38:49,0.086s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:38:49,2018-11-27 02:38:51,1.754s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:38:49,2018-11-27 02:38:50,0.795s,PASSED
verifyElementText,,,2018-11-27 02:38:50,2018-11-27 02:38:50,0.067s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:38:50,2018-11-27 02:38:51,0.802s,PASSED
verifyElementText,,,2018-11-27 02:38:51,2018-11-27 02:38:51,0.059s,PASSED
