Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenTestingDemoSuite,,,2018-11-27 00:17:23,2018-11-27 00:17:33,10.124s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 00:17:23,2018-11-27 00:17:29,5.453s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 00:17:24,2018-11-27 00:17:27,2.618s,PASSED
verifyElementText,,,2018-11-27 00:17:27,2018-11-27 00:17:28,0.564s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 00:17:28,2018-11-27 00:17:29,1.278s,PASSED
verifyElementText,,,2018-11-27 00:17:29,2018-11-27 00:17:29,0.092s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 00:17:29,2018-11-27 00:17:31,1.970s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 00:17:29,2018-11-27 00:17:30,1.054s,PASSED
verifyElementText,,,2018-11-27 00:17:30,2018-11-27 00:17:30,0.056s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 00:17:30,2018-11-27 00:17:31,0.783s,PASSED
verifyElementText,,,2018-11-27 00:17:31,2018-11-27 00:17:31,0.049s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 00:17:31,2018-11-27 00:17:33,1.759s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 00:17:31,2018-11-27 00:17:32,0.860s,PASSED
verifyElementText,,,2018-11-27 00:17:32,2018-11-27 00:17:32,0.049s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 00:17:32,2018-11-27 00:17:33,0.783s,PASSED
verifyElementText,,,2018-11-27 00:17:33,2018-11-27 00:17:33,0.045s,PASSED
