Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SOAPDataDrivenTestingSuite,,,2018-11-27 02:34:45,2018-11-27 02:34:58,13.165s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:34:46,2018-11-27 02:34:54,7.352s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:34:48,2018-11-27 02:34:51,3.432s,PASSED
verifyElementText,,,2018-11-27 02:34:51,2018-11-27 02:34:52,0.803s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:34:52,2018-11-27 02:34:53,1.285s,PASSED
verifyElementText,,,2018-11-27 02:34:53,2018-11-27 02:34:53,0.144s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:34:54,2018-11-27 02:34:56,2.175s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:34:54,2018-11-27 02:34:55,1.033s,PASSED
verifyElementText,,,2018-11-27 02:34:55,2018-11-27 02:34:55,0.085s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:34:55,2018-11-27 02:34:56,0.875s,PASSED
verifyElementText,,,2018-11-27 02:34:56,2018-11-27 02:34:56,0.090s,PASSED
,,,,,,
Test Cases/SOAP Test Case/TestFour_DataDrivenDemo,,,2018-11-27 02:34:56,2018-11-27 02:34:58,1.932s,PASSED
"Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCapital_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:34:56,2018-11-27 02:34:57,0.826s,PASSED
verifyElementText,,,2018-11-27 02:34:57,2018-11-27 02:34:57,0.103s,PASSED
"Statement - response2 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP/CountryInfoSOAPService/GetCurrency_DataDrivenTesting, [CountryCode:CountryCode1]))",,,2018-11-27 02:34:57,2018-11-27 02:34:58,0.860s,PASSED
verifyElementText,,,2018-11-27 02:34:58,2018-11-27 02:34:58,0.109s,PASSED
